"Position","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","Fall.2013","NA..6","NA..7","NA..8","NA..9","NA..10","Spring1","NA..11","Spring2","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19"
"H","1","55.7","0","control","233","233","1","2","4","7",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"H","1","65","1.1","control","238","238","1","4","1","8",NA,NA,"1",NA,"41780","1","5","3","9","2",NA,NA,NA
"H","1","66.2","-1.9","control","240","240","1","3","3","5",NA,NA,"0","no lvs, dry","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"H","1","77","0.4","remove","241","241","1","1","1","3",NA,NA,"0","browsed no lvs","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"H","1","82.3","-0.1","control","244","244","1","1","1","3",NA,NA,"0","browsed","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"H","1","99.7","0.2","remove","246","246","1","4","4","8",NA,NA,"0","no lvs","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"H","1","85.4","1.2","control","247","247","1","2","2","4",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"H","5","69.2","0.7","control","249","249","1","2","1","5",NA,NA,"0",NA,"41781","3",NA,NA,NA,NA,NA,"browsed","1"
"H","5","69.7","1","remove","250","250","1","4","3","9",NA,NA,"1",NA,"41781","1","7","4","9","2.4",NA,NA,NA
"H","5","71","-0.8","control","251","251","1","2","1","2",NA,NA,"1",NA,"41781","1","2","1","3","1",NA,NA,NA
"H","5","72.1","-2.2","control","252","252","1","3","2","7",NA,NA,"1",NA,"41781","1","4","3","8","2.5",NA,NA,NA
"H","5","89","2","control","253","253","1","2","2","6",NA,NA,"1",NA,"41781","1","4","2","7","3",NA,NA,NA
"H","5","17.6","-3.4","control","254","254","1","3","3","5",NA,NA,"0","dry gray","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"H","3","89.8","-0.5","control","255","255","1","4","3","8",NA,"seedling","2","could not find it ","41781","1","6","5","9","3.4",NA,"x, y change, transect change",NA
"H","5","69.1","-8.3","remove","256","256","1","4","3","6",NA,NA,"1","resprouting","41781","1","4","4","6","2.9",NA,NA,NA
"H","5","92.4","-10","remove","258","258","1","3","4","8",NA,NA,"1","healthy! ","41781","1","8","5","10","3.2",NA,NA,NA
"H","5","50.6","-12.9","control","259","259","1","3","2","4",NA,NA,"1",NA,"41781","1","4","3","6","2.2",NA,NA,NA
"J","2","2.2","-1.1","control","260","260","1","1","1","4",NA,NA,"0","no lvs","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"J","2","3.1","0.9","control","261","261","2",NA,NA,NA,NA,NA,NA,NA,"41781","2",NA,NA,NA,NA,NA,"probably #669",NA
"J","2","17.6","-0.8","remove","263","263","1","2","2","5",NA,NA,"1","removal ineffective","41781","1","4","3","5","3.1",NA,NA,NA
"J","2","19.7","1.5","control","264","264","3","1","1","2",NA,NA,"0","no lvs","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"J","2","29.9","0","control","265","265","1","2","1","6",NA,NA,"1",NA,"41781","1","4","2","6","2.2",NA,NA,NA
"J","2","30.8","0.6","remove","266","266","1","3","2","6",NA,NA,"1",NA,"41781","1","3","2","4","3.1",NA,NA,NA
"J","2","39.3","2.4","control","267","267","1","1","1","3",NA,NA,"1","resprouting","41781","1","3","2","4","2.3",NA,NA,NA
"J","2","44.3","-0.8","remove","268","268","3","1","1","2",NA,"no leaves","0","no lvs","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"J","2","45","0.4","remove","269","269","1","3","2","5",NA,NA,"1",NA,"41781","1","2","4","4","2.2",NA,NA,NA
"J","2","45.9","-0.9","remove","271","271","0",NA,NA,NA,NA,"LT-Eaten","0","no lvs","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"J","2","58.4","1.7","control","276","276","3","1","1","2",NA,NA,"0","plant gone","41781","0",NA,NA,NA,NA,NA,"plant missing ",NA
"J","2","66.3","1","control","277","277","1","1","1","3",NA,NA,"1",NA,"41781","1","1","1","2","1.1",NA,NA,NA
"J","2","76.5","1.7","control","278","278","1","2","2","6",NA,NA,"1",NA,"41781","1","3","2","7","2.4",NA,NA,NA
"J","2","83.1","0.9","remove","279","279","3","1","1","4",NA,NA,"0","browsed no lvs","41781","3",NA,NA,NA,NA,NA,"browsed","1"
"J","2","88.2","0","remove","281","281","1","3","2","7",NA,"weird white spots (insects?)","1",NA,"41781","1","2","2","7","1.4",NA,NA,NA
"K","3","0","2.8","control","282","282","1","2","3","4",NA,NA,"1",NA,"41779","1","4","2","6","1.6",NA,NA,NA
"K","3","1.7","2","control","283","283","1","1","2","3",NA,NA,"1",NA,"41779","1","3","2","4","2.2",NA,NA,NA
"K","3","4.3","2.5","remove","285","285","1","3","3","5",NA,NA,"1",NA,"41779","1","6","6","7","2.4",NA,NA,NA
"K","3","7.1","-1.3","remove","286","286","1","2","3","5",NA,NA,"1",NA,"41779","1","6","6","6","2.5",NA,NA,NA
"K","3","9","1.5","control","287","287","1","3","4","4",NA,NA,"1",NA,"41779","1","5","5","4","2.4",NA,NA,NA
"K","3","14.4","0.1","remove","288","288","0",NA,NA,NA,NA,"LT","0",NA,"41779","3",NA,NA,NA,NA,NA,"left tag",NA
"K","3","14.1","-0.6","remove","289","289","1","2","1","5",NA,NA,"1",NA,"41779","1","4","4","6","1.9",NA,NA,NA
"K","3","36.5","-1.2","control","291","291","1","3","3","4",NA,NA,"1",NA,"41779","1","6","6","6","3.7",NA,NA,NA
"K","3","40.1","-1.1","remove","293","293","1","6","6","8",NA,NA,"1",NA,"41779","1","10","10","8","4.4",NA,NA,NA
"K","3","39.4","-2.2","remove","294","294","1","3","3","3",NA,NA,"1","removal ineffective","41779","1","6","3","5","3",NA,NA,NA
"K","3","48","-2.9","control","295","295","1","4","5","8",NA,NA,"1",NA,"41779","1","7","6","9","3.8",NA,NA,NA
"K","3","53.9","-3.6","control","296","296","1","1","1","4",NA,NA,"1",NA,"41779","1","2","2","5","1.6",NA,NA,NA
"K","3","59.3","1.8","remove","297","297","1","3","3","8",NA,NA,"1",NA,"41779","1","5","4","9","2.5",NA,NA,NA
"K","3","60.3","-3.4","remove","298","298","1","2","1","5",NA,NA,"1",NA,"41779","1","4","5","6","2.1",NA,NA,NA
"K","3","61.8","-4","control","299","299","1","2","2","4",NA,NA,"1",NA,"41779","1","6","4","6","1.6",NA,NA,NA
"K","3","92.3","-0.6","control","300","300","1","3","2","7",NA,NA,"1",NA,"41779","1","3","3","5","2.1",NA,NA,NA
"K","3","94.3","-1.2","control","301","301","1","3","2","6",NA,NA,"1",NA,"41779","1","4","4","8","2.3",NA,NA,NA
"K","3","95.6","-1.4","control","302","302","1","2","2","6",NA,NA,"1",NA,"41779","1","4","2","8","2.1",NA,NA,NA
"K","3","95.8","0.8","control","303","303","1","4","4","6",NA,NA,"1",NA,"41779","1","5","5","9","2.2",NA,NA,NA
"K","2","6.5","1.4","remove","304","304","1","29","11","21",NA,NA,"1","removal ineffective","41779","1","29","16","23",NA,"4",NA,NA
"K","2","12.8","1.4","control","305","305","1","93","101","55",NA,NA,"1",NA,"41779","1","87","95","48",NA,"46",NA,NA
"K","2","17.8","1.1","control","306","306","1","17","13","22",NA,NA,"1",NA,"41779","1","18","15","22",NA,"2",NA,NA
"K","2","24.1","1.6","control","307","307","1","42","40","29",NA,NA,"1",NA,"41779","1","52","44","28",NA,"15",NA,NA
"K","2","30.4","1.9","remove","308","308","1","9","6","13",NA,NA,"1",NA,"41779","1","9","15","16",NA,"1",NA,NA
"K","2","36.3","2.1","control","309","309","1","50","64","33",NA,NA,"1",NA,"41779","1","61","50","30",NA,"16",NA,NA
"K","2","41.2","2.4","control","310","310","1","32","23","25",NA,"sterile infls","1",NA,"41779","1","34","24","25",NA,"5",NA,NA
"K","2","48.3","1.3","remove","311","311","1","53","17","42",NA,NA,"1",NA,"41779","1","48","39","43",NA,"7",NA,NA
"K","2","54.7","1.7","remove","312","312","1","26","17","26",NA,NA,"1",NA,"41779","1","32","21","28",NA,"5",NA,NA
"K","2","60.3","1.6","remove","313","313","1","62","45","46",NA,NA,"1",NA,"41779","1","65","42","41",NA,"6",NA,NA
"K","2","66.2","1.7","control","314","314","1","35","22","29",NA,NA,"1",NA,"41779","1","28","23","33",NA,"4",NA,NA
"K","2","72.8","2","control","315","315","1","54","39","25",NA,NA,"1",NA,"41779","1","57","40","26",NA,"16",NA,NA
"K","2","77.1","1.5","control","316","316","1","26","21","18",NA,NA,"1",NA,"41779","1","25","24","19",NA,"3",NA,NA
"K","2","83.3","2.3","remove","317","317","1","88","57","45",NA,NA,"1",NA,"41779","1","96","75","48",NA,"35",NA,NA
"K","2","90.6","2.9","remove","318","318","1","32","22","25",NA,NA,"1",NA,"41779","1","36","27","27",NA,"6",NA,NA
"K","2","96.3","2.5","remove","319","319","1","89","114","46",NA,NA,"1",NA,"41779","1","109","93","46",NA,"49",NA,NA
"J","3","6","-0.1","control","320","320","1","27","38","75",NA,NA,"1",NA,"41781","1","28","22","76",NA,"4",NA,NA
"J","3","12.6","0.3","remove","321","321","1","84","64","82",NA,NA,"1","removal effective","41781","1","99","67","76",NA,"38",NA,NA
"J","3","17.7","-0.1","remove","322","322","1","39","22","61",NA,NA,"1","broken branch dying ","41781","1","7","5","48",NA,"1",NA,NA
"J","3","24.6","0","remove","323","323","1","67","53","69",NA,NA,"1",NA,"41781","1","69","55","71",NA,"19",NA,NA
"J","3","30.3","-0.1","control","324","324","1","14","11","30",NA,NA,"1",NA,"41781","1","16","9","35",NA,"1",NA,NA
"J","3","35.8","0.5","remove","325","325","1","87","64","46",NA,NA,"1",NA,"41781","1","88","61","47",NA,"14",NA,NA
"J","3","41.6","0.4","remove","326","326","1","12","17","43",NA,NA,"0","dry no lvs","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"J","3","47.8","0","control","327","327","1","84","67","71",NA,NA,"1",NA,"41781","1","87","69","68",NA,"14",NA,NA
"J","3","53.8","0.2","remove","328","328","1","34","16","34",NA,NA,"1",NA,"41781","1","38","17","35",NA,"3",NA,NA
"J","3","59.8","-0.8","control","329","329","1","46","50","60",NA,NA,"1",NA,"41781","1","47","56","58",NA,"8",NA,NA
"J","3","65.9","0","remove","330","330","1","10","9","24",NA,NA,"1",NA,"41781","1","11","11","23",NA,"1",NA,NA
"J","3","72.4","0.2","remove","331","331","1","79","51","60",NA,NA,"1",NA,"41781","1","95","66","55",NA,"22",NA,NA
"J","3","77.7","0","control","332","332","1","8","5","15",NA,NA,"1",NA,"41781","1","10","7","14",NA,"1",NA,NA
"J","3","83.7","0.6","control","333","333","1","72","56","85",NA,NA,"1",NA,"41781","1","75","56","80",NA,"23",NA,NA
"J","3","90.9","-0.1","control","334","334","1","23","19","26",NA,NA,"1",NA,"41781","1","25","27","27",NA,"4",NA,NA
"J","3","95.9","-0.5","control","335","335","1","73","53","35",NA,NA,"1",NA,"41781","1","72","48","36",NA,"12",NA,NA
"L","3","4.2","0.1","control","336","336","1","2","1","4",NA,NA,"1",NA,"41780","1","3","2","5","2.4",NA,NA,NA
"L","3","14.9","-4.3","control","337","337","1","3","2","6",NA,NA,"0","dry gray broken","41780","3",NA,NA,NA,NA,NA,"probably dead",NA
"L","3","15.8","-3.3","control","338","338","1","4","6","6",NA,NA,"1",NA,"41780","1","7","6","7","3.9",NA,NA,NA
"L","3","19.2","-2.3","control","339","339","3","1","1","7",NA,NA,"0","dry no lvs","41780","3",NA,NA,NA,NA,NA,"probably dead",NA
"L","3","20.7","-0.7","remove","340","340","1","3","3","3",NA,NA,"1",NA,"41780","1","5","4","6","3.2",NA,NA,NA
"L","3","23.1","-3.9","control","341","341","1","4","3","9",NA,NA,"1",NA,"41780","1","4","2","9","4",NA,NA,NA
"L","3","24.9","2.2","control","342","342","1","4","3","8",NA,NA,"0","no lvs","41780","3",NA,NA,NA,NA,NA,NA,NA
"L","3","25.5","0.9","control","343","343","1","4","4","11",NA,NA,"1",NA,"41780","1","8","4","12","3.3",NA,NA,NA
"L","3","26.5","-3.1","remove","344","344","1","4","3","11",NA,NA,"0","dry gray","41780","3",NA,NA,NA,NA,NA,NA,NA
"L","3","27.6","-2.8","control","345","345","1","2","2","4",NA,NA,"1",NA,"41780","1","3","3","6","2.1",NA,NA,NA
"L","3","29.7","-0.6","control","346","346","1","4","5","8",NA,NA,"1",NA,"41780","1","7","5","9","3.9",NA,NA,NA
"L","3","31.2","-0.7","remove","347","347","1","6","5","12",NA,NA,"1",NA,"41780","1","6","6","13","4.5",NA,NA,NA
"L","3","30.7","-0.1","control","348","348","1","2","1","4",NA,NA,"1",NA,"41780","1","2","2","3","1.8",NA,"lvs with yellow tips",NA
"L","3","33.8","3.6","control","349","349","1","3","3","6",NA,"stepped on","1",NA,"41780","1","4","3","7","1.6",NA,NA,NA
"L","3","34.1","2.2","remove","350","350","1","1","1","2",NA,NA,"0","no lvs","41780","0",NA,NA,NA,NA,NA,NA,NA
"L","3","39.9","0.8","remove","352","352","1","2","1","6",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,NA,NA
"L","3","42.6","-1","remove","354","354","1","4","4","9",NA,NA,"1","x-positions off","41780","1","4","4","9","2.9",NA,NA,NA
"L","3","45.5","4.7","remove","355","355","1","3","3","6",NA,NA,"1","x-positions off","41780","1","4","4","6","2.4",NA,NA,NA
"L","3","49.8","1","remove","356","356","1","3","2","5",NA,NA,"1","x-positions off","41780","1","4","2","7","2",NA,NA,NA
"L","3","53.1","2","remove","357","357","1","1","1","4",NA,NA,"1","x-positions off","41780","1","3","1","3","1.5",NA,"white spots on leaves",NA
"L","3","57.1","-2.6","control","358","358","1","4","3","7",NA,NA,"1","x-positions off","41780","1","4","3","8","2.3",NA,NA,NA
"L","3","58.6","-3.5","remove","359","359","1","3","2","5",NA,NA,"1","x-positions off","41780","1","5","3","6","2",NA,NA,NA
"L","3","58.9","-2.8","remove","360","360","1","4","3","6",NA,NA,"1","x-positions off","41780","1","5","4","5","2.4",NA,NA,NA
"L","3","59.8","-3.5","control","361","361","1","2","2","5",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,NA,NA
"L","3","67.8","1","control","362","362","1","1","2","4",NA,NA,"1","x-positions off","41780","1","3","2","4","1.6",NA,NA,NA
"L","3","70.3","2","remove","363","363","1","2","2","7",NA,NA,"1","x-positions off","41780","1","4","4","7","2.2",NA,NA,NA
"L","3","72.7","-2.5","remove","365","365","1","2","1","3",NA,NA,"1","x-positions off","41780","1","2","3","4","2",NA,NA,NA
"L","3","74.8","-3","remove","366","366","1","2","1","7",NA,NA,"1","x-positions off","41780","1","6","3","9","3.1",NA,NA,NA
"L","3","77.5","-1.4","control","367","367","1","1","1","3",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,NA,NA
"L","4","6.3","0.6","remove","368","368","1","59","40","58",NA,NA,"1",NA,"41780","1","54","39","57",NA,"12",NA,NA
"L","4","12.3","0","control","369","369","1","62","69","55",NA,NA,"1",NA,"41780","1","64","49","56",NA,"19",NA,NA
"L","4","17.5","0.5","control","370","370","1","26","18","26",NA,NA,"1",NA,"41780","1","34","26","31",NA,"5",NA,NA
"L","4","24","0.8","control","371","371","1","112","86","51",NA,NA,"1",NA,"41780","1","86","89","50",NA,"27",NA,NA
"L","4","30.1","0.5","remove","372","372","1","38","19","26",NA,NA,"1",NA,"41780","1","43","19","28",NA,"4",NA,NA
"L","4","38.6","1.1","control","373","373","1","122","98","57",NA,NA,"1",NA,"41780","1","114","95","58",NA,"29",NA,NA
"L","4","41.4","1.5","remove","374","374","1","5","7","14",NA,NA,"1",NA,"41780","1","11","9","15",NA,"1",NA,NA
"L","4","49","0.3","remove","375","375","1","85","103","49",NA,NA,"1",NA,"41780","1","83","86","45",NA,"35","some dead branches on edge",NA
"L","4","53.7","0.3","control","376","376","1","40","29","38",NA,NA,"1",NA,"41780","1","42","31","36",NA,"7",NA,NA
"L","4","60.3","0.6","remove","377","377","1","130","180","73",NA,NA,"1",NA,"41780","1","150","120","65",NA,"95",NA,NA
"L","4","66.6","-1","control","378","378","1","20","10","17",NA,NA,"1",NA,"41780","1","18","18","16",NA,"1",NA,NA
"L","4","72","-0.7","remove","379","379","1","37","32","36",NA,NA,"1",NA,"41780","1","33","33","35",NA,"9",NA,NA
"L","4","78.5","-0.1","control","380","380","1","30","23","25",NA,NA,"1",NA,"41780","1","27","23","29",NA,"4",NA,NA
"L","4","80.4","2.9","remove","381","381","1","62","44","45",NA,NA,"1",NA,"41780","1","51","43","43",NA,"8",NA,NA
"L","4","89.5","-0.9","remove","382","382","1","33","14","26",NA,NA,"1",NA,"41780","1","39","16","31",NA,"4",NA,NA
"L","4","95.9","-0.2","remove","383","383","1","40","44","26",NA,NA,"1",NA,"41780","1","50","37","30",NA,"7",NA,NA
"L","2","6.2","-0.5","remove","384","384","1","47","28","39",NA,NA,"1",NA,"41780","1","51","32","38",NA,"9",NA,NA
"L","2","10.8","-0.8","remove","385","385","1","64","59","49",NA,NA,"1",NA,"41780","1","66","55","48",NA,"21",NA,NA
"L","2","17.6","0.9","control","386","386","1","11","9","19",NA,NA,"1",NA,"41780","1","11","11","21",NA,"1",NA,NA
"L","2","23.1","-1.8","control","387","387","1","101","90","60",NA,NA,"1",NA,"41780","1","110","89","67",NA,"60","canopy thinning out",NA
"L","2","29.3","0","remove","388","388","1","27","20","35",NA,"infls. Eaten","1",NA,"41780","1","28","28","35",NA,"6",NA,NA
"L","2","35.7","-0.4","control","389","389","1","66","55","67",NA,NA,"1",NA,"41780","1","69","64","68",NA,"28",NA,NA
"L","2","42.6","-0.1","control","390","390","1","6","5","34",NA,NA,"1","small hidden under larger plant","41780","1","7","6","32",NA,"1",NA,NA
"L","2","47.2","0","remove","391","391","1","70","54","60",NA,NA,"1","x-positions off","41780","1","55","41","59",NA,"14",NA,NA
"L","2","53.9","1.1","control","392","392","1","24","19","28",NA,NA,"1","x-positions off","41780","1","21","25","32",NA,"3",NA,NA
"L","2","57.3","-0.9","remove","393","393","1","65","82","55",NA,NA,"1","x-positions off","41780","1","93","63","54",NA,"36",NA,NA
"L","2","65.7","-0.4","remove","394","394","1","36","10","27",NA,NA,"1","top dead","41780","1","9","7","17",NA,"1","resprouting",NA
"L","2","70.5","0.1","control","395","395","1","57","27","35",NA,NA,"1","x-positions off","41780","1","51","20","33",NA,"5",NA,NA
"L","2","77.2","-0.1","control","396","396","1","31","15","34",NA,"many sterile infls.","1","x-positions off","41780","1","32","21","34",NA,NA,"right next to separate plant",NA
"L","2","81","-0.2","control","397","397","1","66","47","48",NA,NA,"1","x-positions off","41780","1","57","50","50",NA,"18",NA,NA
"L","2","90.4","-0.3","remove","398","398","1","7","7","9",NA,NA,"1",NA,"41780","1","11","12","10",NA,"1",NA,NA
"L","2","97","-1","control","399","399","1","81","52","41",NA,NA,"1",NA,"41780","1","88","54","43",NA,"19",NA,NA
"M","2","1.6","-3","control","400","400","1","1","4","4",NA,NA,"1","browsed","41782","1","1","1","3","1.1",NA,"one leaf",NA
"M","2","3.7","-1.7","control","401","401","1","3","3","6",NA,NA,"1","frost heave","41782","1","4","3","5","2.2",NA,NA,NA
"M","2","6.5","-2.6","control","402","402","1","2","1","5",NA,NA,"1","browsed resprouting","41782","1","1","1","6","2.4",NA,NA,NA
"M","2","14.1","1","remove","403","403","1","3","3","8",NA,NA,"1","browsed","41782","1","2","1","5","2.1",NA,NA,NA
"M","2","17.1","-1.5","remove","404","404","1","1","1","7",NA,NA,"0","pulled up ","41782","0",NA,NA,NA,NA,NA,NA,NA
"M","2","17.5","-4","remove","405","405","3","3","3","7",NA,NA,"0","dry no lvs","41782","3",NA,NA,NA,NA,NA,"left tag, no lvs",NA
"M","2","27.5","2.5","remove","406","406","1","2","1","5",NA,NA,"1",NA,"41782","3",NA,NA,NA,NA,NA,"no leaves",NA
"M","2","30","1.5","remove","407","407","1","4","3","5",NA,NA,"1",NA,"41782","1","4","2","4","2.6",NA,NA,NA
"M","2","43.9","-0.3","control","409","409","1","2","2","5",NA,NA,"1",NA,"41782","1","2","1","5","1.4",NA,NA,NA
"M","2","47.5","0.2","remove","410","410","0",NA,NA,NA,NA,"Eaten","0","no lvs","41782","0",NA,NA,NA,NA,NA,"no regrowth",NA
"M","2","47.8","-0.5","remove","411","411","0",NA,NA,NA,NA,"Eaten","0","dry no lvs","41782","0",NA,NA,NA,NA,NA,"no regrowth plant dead.  Moved tag to nearby seedling as #411",NA
"M","2","57.4","3.3","control","414","414","1","2","2","9",NA,NA,"0","browsed no lvs","41782","0",NA,NA,NA,NA,NA,"no regrowth ",NA
"M","2","77.5","0.2","control","415","415","1","2","2","6",NA,NA,"1","browsed","41782","1","2","1","5","2.5",NA,NA,NA
"M","3","5.9","-0.4","control","416","416","1","16","12","33",NA,NA,"1",NA,"41782","1","16","13","35",NA,"1",NA,NA
"M","3","12.4","-0.5","control","417","417","1","82","49","54",NA,NA,"1",NA,"41782","1","89","57","53",NA,"25",NA,NA
"M","3","18.1","0","remove","418","418","1","32","29","56",NA,NA,"1",NA,"41782","1","37","28","53",NA,"7",NA,NA
"M","3","24.7","-0.1","remove","419","419","1","140","106","73",NA,NA,"1",NA,"41782","1","137","109","67",NA,"40",NA,NA
"M","3","30.1","-0.1","remove","420","420","1","35","29","54",NA,NA,"1",NA,"41782","1","26","24","54",NA,"4",NA,NA
"M","3","36.5","-0.3","remove","421","421","1","145","66","54",NA,NA,"1",NA,"41782","1","135","62","50",NA,"28",NA,NA
"M","3","47.9","0.1","control","423","423","1","61","45","65",NA,NA,"1",NA,"41782","1","63","49","68",NA,"9",NA,NA
"M","3","54.3","-0.7","control","424","424","1","5","5","13",NA,NA,"1",NA,"41782","1","5","4","12",NA,"1","browsed","1"
"M","3","60.7","-0.4","control","425","425","1","76","49","67",NA,NA,"1",NA,"41782","1","79","58","70",NA,"28",NA,NA
"M","3","65.8","-0.1","control","426","426","1","14","15","33",NA,NA,"1",NA,"41782","1","16","14","38",NA,"1",NA,NA
"M","3","71.8","0.3","remove","427","427","1","78","46","75",NA,NA,"1",NA,"41782","1","86","62","73",NA,"21",NA,NA
"M","3","78.3","0","remove","428","428","1","40","23","53",NA,NA,"0",NA,"41782","0",NA,NA,NA,NA,NA,"left tag",NA
"M","3","84.1","0.1","control","429","429","1","57","61","74",NA,NA,"1",NA,"41782","1","74","49","73",NA,"11",NA,NA
"M","3","95.9","0.6","remove","431","431","1","55","57","70",NA,NA,"1",NA,"41782","1","61","59","69",NA,"13",NA,NA
"J","4","7","-0.5","control","432","432","1","4","4","8",NA,NA,"1",NA,"41781","1","4","4","8","2.7",NA,NA,NA
"J","4","17","0.5","control","435","435","1","2","2","5",NA,NA,"1",NA,"41781","1","2","1","5","2.1",NA,NA,NA
"J","4","27","-0.5","remove","436","436","1","4","4","6",NA,NA,"1",NA,"41781","1","4","4","5","2.8",NA,NA,NA
"J","4","27","0.5","control","437","437","1","3","2","4",NA,NA,"1","resprouting ","41781","1","2","2","4","1.6",NA,NA,NA
"J","4","37","-0.5","remove","438","438","1","1","1","3",NA,NA,"1",NA,"41781","1","2","2","4","1.7",NA,NA,NA
"J","4","37","0.5","control","439","439","1","4","4","8",NA,NA,"1",NA,"41781","1","5","4","7","2.6",NA,NA,NA
"J","4","47","-0.5","control","440","440","1","3","3","6",NA,NA,"1",NA,"41781","1","4","3","6","1.9",NA,NA,NA
"J","4","47","0.5","remove","441","441","0",NA,NA,NA,NA,"Eaten","0",NA,"41781","0",NA,NA,NA,NA,NA,"left tag",NA
"J","4","57","-0.5","control","442","442","0",NA,NA,NA,NA,"Eaten","0",NA,"41781","0",NA,NA,NA,NA,NA,"left tag",NA
"J","4","57","0.5","remove","443","443","1","3","2","5",NA,NA,"1",NA,"41781","1","4","3","5","2.6",NA,NA,NA
"J","4","67","-0.5","control","444","444","1","2","2","5",NA,NA,"1",NA,"41781","1","3","2","6","1.7",NA,NA,NA
"J","4","67","0.5","remove","445","445","1","3","2","5",NA,NA,"1",NA,"41781","1","4","4","5","2.6",NA,NA,NA
"J","4","77","-0.5","control","446","446","1","4","3","6",NA,NA,"1",NA,"41781","1","3","3","6","2.3",NA,NA,NA
"J","4","77","0.5","remove","447","447","1","2","1","6",NA,NA,"1","resprouting ","41781","1","3","3","5","2.9",NA,NA,NA
"J","4","87","-0.5","remove","448","448","0",NA,NA,NA,NA,"Eaten","0",NA,"41781","0",NA,NA,NA,NA,NA,NA,NA
"J","4","87","0.5","control","449","449","0",NA,NA,NA,NA,"Eaten","0",NA,"41781","0",NA,NA,NA,NA,NA,NA,NA
"A","3","27","-0.5","control","456","456","1","4","2","5",NA,NA,"1","yellowish","41779","1","4","2","4","1.6",NA,"Y Change, yellowish",NA
"K","4","97","-0.5","control","490","490","3","1","1","4",NA,"Only 2 leaves left","0","probably dead","41779","0",NA,NA,NA,NA,NA,NA,NA
"B","1","7","-0.5","remove","492","492","1","3","2","4",NA,NA,"0",NA,"41778","0",NA,NA,NA,NA,NA,NA,NA
"B","1","24","-0.5","control","496","496","3","1","1","3",NA,NA,"0",NA,"41778","0",NA,NA,NA,NA,NA,NA,NA
"B","1","51","-0.5","remove","500","500","3","2","1","4",NA,NA,"0",NA,"41778","0",NA,NA,NA,NA,NA,NA,NA
"B","1","67","0.5","remove","505","505","3","3","2","5",NA,NA,"0",NA,"41778","0",NA,NA,NA,NA,NA,"dry and gray",NA
"B","1","87","-0.5","control","508","508","1","3","3","4",NA,NA,"0",NA,"41778","0",NA,NA,NA,NA,NA,NA,NA
"B","1","97","-0.5","remove","510","510","1","1","1","2",NA,NA,"3",NA,"41778","0",NA,NA,NA,NA,NA,NA,NA
"B","1","97","0.5","control","511","511","1","2","3","5",NA,NA,"0",NA,"41778","0",NA,NA,NA,NA,NA,NA,NA
"M","4","7","-0.5","control","512","512","1","3","3","6",NA,NA,"1",NA,"41782","1","4","3","6","2.7",NA,NA,NA
"M","4","7","0.5","remove","513","513","1","3","2","5",NA,NA,"1",NA,"41782","1","4","3","5","2.2",NA,NA,NA
"M","4","17","-0.5","remove","514","514","1","2","1","3",NA,NA,"1","browsed","41782","3",NA,NA,NA,NA,NA,"dried out",NA
"M","4","17","0.5","control","515","515","1","2","2","5",NA,NA,"1","browsed","41782","1","2","2","3","1.7",NA,"resprouting ",NA
"M","4","27","-0.5","remove","516","516","1","3","3","5",NA,NA,"1","browsed","41782","1","1","1","3","1.6",NA,"resprouting ",NA
"M","4","27","0.5","control","517","517","1","1","1","4",NA,NA,"0","dry no lvs","41782","0",NA,NA,NA,NA,NA,"left tag",NA
"M","4","37","0.5","control","519","519","1","2","2","4",NA,NA,"1",NA,"41782","1","2","3","4","1.7",NA,NA,NA
"M","4","47","-0.5","control","520","520","1","3","2","4",NA,NA,"0","dry no lvs","41782","0",NA,NA,NA,NA,NA,"left tag",NA
"M","4","47","0.5","remove","521","521","1","2","2","6",NA,NA,"1","browsed resprouting ","41782","1","4","2","5","2",NA,NA,NA
"M","4","57","-0.5","control","522","522","3","2","1","4",NA,NA,"0","browsed no lvs","41782","0",NA,NA,NA,NA,NA,"left tag",NA
"M","4","67","-0.5","remove","524","524","1","1","2","5",NA,NA,"1",NA,"41782","3",NA,NA,NA,NA,NA,"freshly browsed","1"
"M","4","67","0.5","control","525","525","1","3","2","4",NA,NA,"1",NA,"41782","1","2","3","4","1.8",NA,NA,NA
"M","4","77","0.5","remove","527","527","1","3","3","9",NA,NA,"1",NA,"41782","1","2","2","6","2.5",NA,NA,NA
"M","4","87","-0.5","control","528","528","1","2","2","5",NA,NA,"1","healthy! ","41782","1","6","4","6","2.4",NA,NA,NA
